model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_62.pkl,62,magenta_brush_709fhdv81h,16,,-0.928462709284627,0.8364888888888888,0.8353245694570405,0.03921690509854946,0.8502862893148312
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_90.pkl,90,red_shoe_sw899k9594,10,,-0.8690005646527386,0.8498886414253898,0.8300504880104884,0.037027069151627366,0.8743248394984408
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_91.pkl,91,dynamic_engine_b27tvvlg8k,4,,-0.9349179400113187,0.870085547870404,0.8608709422088552,0.036831458381403004,0.8940867613830349
SurvivalTree_T1,raw_SurvivalTree_T1_90.pkl,90,red_shoe_sw899k9594,10,,-0.9187961385576378,0.8636971046770602,0.84162694450387,0.036287554513057936,0.8998783374035372
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_90.pkl,90,red_shoe_sw899k9594,13,,-0.9324247586598523,0.9044097995545657,0.881369390004378,0.027609136071535777,0.9362100711004431
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_73.pkl,73,mighty_beet_0h7bfp7shz,16,,-0.9324704558244232,0.831680490443563,0.8270738323759091,0.03635218710481615,0.8461562151818307
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_90.pkl,90,red_shoe_sw899k9594,13,,-0.9346961953435547,0.9111804008908686,0.88746412778451,0.029800441747421524,0.9416367955247561
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_90.pkl,90,red_shoe_sw899k9594,10,,-0.9369676320272572,0.8894432071269488,0.8633657047749422,0.03253191575917839,0.9249792470547875
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_91.pkl,91,dynamic_engine_b27tvvlg8k,13,,-0.9360498019241652,0.8817801237713869,0.8725001694757683,0.030738019102788602,0.9060399871498236
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_89.pkl,89,modest_door_nm9dxgckkq,13,,-0.935054773082942,0.8043861275964391,0.8132623558441681,0.03626085584016903,0.7926131419972099
SurvivalTree_T0,raw_SurvivalTree_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,7,,-0.8979411764705882,0.731355444785276,0.7256474380378222,0.03379394268100685,0.7452257508950333
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,10,,-0.9129411764705883,0.8449961656441718,0.8409920049070968,0.03445722061960748,0.8516903482762812
SurvivalTree_T1,raw_SurvivalTree_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.889406286379511,0.8406435459940653,0.8449837418345256,0.03604105339148289,0.8391863329827006
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_62.pkl,62,magenta_brush_709fhdv81h,7,,-0.9299847792998478,0.8220444444444445,0.8149095568326523,0.0460342866347502,0.8441010377065743
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9569266589057043,0.8900222551928784,0.8917711067349333,0.038538090172754086,0.8935193483778909
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,10,,-0.9070588235294118,0.8472009202453987,0.8430291106737565,0.03415030328984225,0.8533406989396
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_73.pkl,73,mighty_beet_0h7bfp7shz,10,,-0.9034890264490715,0.8057158312297151,0.7957417940011194,0.0379153185050729,0.827406159321274
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9545983701979045,0.8855712166172107,0.8881014258032615,0.04379024719713476,0.887804285021954
SurvivalTree_T1,raw_SurvivalTree_T1_73.pkl,73,mighty_beet_0h7bfp7shz,4,,-0.9329625292740047,0.8298773891092679,0.824443669470815,0.03246886946566945,0.8371132316809845
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,10,,-0.8913718187461204,0.8417369631901841,0.8399043423269199,0.033375188835493085,0.846034860535678
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_73.pkl,73,mighty_beet_0h7bfp7shz,13,,-0.9675977653631285,0.8851424450054093,0.8740899740389698,0.03415173858405545,0.8960439248742897
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_90.pkl,90,red_shoe_sw899k9594,4,,-0.9330024813895782,0.8543429844097995,0.8270363204413904,0.03221845365104985,0.8999883822528747
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9610011641443539,0.8589577151335311,0.8655252618087595,0.03416294533098247,0.8541214107862641
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_73.pkl,73,mighty_beet_0h7bfp7shz,13,,-0.9692737430167597,0.8832491886043996,0.8729471882524753,0.033013030195520605,0.8923066862922938
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_73.pkl,73,mighty_beet_0h7bfp7shz,13,,-0.9720670391061452,0.8502524341868013,0.8410499759520761,0.03274324895327059,0.8531593002815563
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,13,,-0.9123529411764706,0.8153757668711656,0.8175701567356046,0.03322928888317885,0.813017866901747
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_62.pkl,62,magenta_brush_709fhdv81h,7,,-0.9117199391171994,0.7942666666666667,0.7908734113478005,0.04073096295360447,0.8072285031061379
SurvivalTree_T1,raw_SurvivalTree_T1_62.pkl,62,magenta_brush_709fhdv81h,13,,-0.9423076923076923,0.8417777777777777,0.8359202386680081,0.03507960436922023,0.8648041606596182
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_62.pkl,62,magenta_brush_709fhdv81h,16,,-0.9731100963977676,0.8951111111111111,0.8930615779186233,0.036876217028067336,0.9078379496109646
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9458672875436555,0.8543212166172107,0.8530474657244778,0.03444113606005673,0.8655662788819355
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_62.pkl,62,magenta_brush_709fhdv81h,16,,-0.9710806697108066,0.8838222222222222,0.8825129659256135,0.0355079447520174,0.8959512983333516
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_73.pkl,73,mighty_beet_0h7bfp7shz,16,,-0.9709497206703911,0.8489001081860801,0.8390277822521939,0.032390148095448316,0.8518162749894124
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_62.pkl,62,magenta_brush_709fhdv81h,16,,-0.9639776763064434,0.8750222222222223,0.8723891730163833,0.03502080299275804,0.8885632409755128
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_90.pkl,90,red_shoe_sw899k9594,4,,-0.947473026689381,0.8826280623608018,0.8567728309247694,0.031823057304419304,0.9221901770518005
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,10,,-0.8911764705882353,0.8285084355828221,0.8258391575737327,0.03647711575511663,0.8352810463944338
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_62.pkl,62,magenta_brush_709fhdv81h,16,,-0.9690512430238457,0.8728888888888889,0.8670935782668023,0.034906385473465674,0.8965419775818113
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9556541019955654,0.861183234421365,0.860022703105358,0.043346184228989185,0.8727991290226866
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_73.pkl,73,mighty_beet_0h7bfp7shz,13,,-0.9603351955307262,0.861882437793004,0.849996953902213,0.03515038974157359,0.8707404016647919
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_42.pkl,42,good_giraffe_v9lwxjw2pc,16,,-0.8914705882352941,0.781058282208589,0.7766678824554866,0.03527500786615812,0.788363516042992
SurvivalTree_T1,raw_SurvivalTree_T1_42.pkl,42,good_giraffe_v9lwxjw2pc,7,,-0.9473529411764706,0.8116851993865031,0.804476827484364,0.03194984137494459,0.8216343766720275
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_42.pkl,42,good_giraffe_v9lwxjw2pc,13,,-0.9556407447973713,0.8518980061349694,0.8530105517729457,0.030482847706681762,0.8482804006510521
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_90.pkl,90,red_shoe_sw899k9594,10,,-0.9613855763770585,0.8956347438752784,0.8775361377683851,0.03427270826559333,0.9251171104519844
SurvivalTree_T0,raw_SurvivalTree_T0_40.pkl,40,polite_prune_yysklw3sqv,7,,-0.8523809523809524,0.8506518042697903,0.8366013356393983,0.03295034994254521,0.8834216368820663
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_40.pkl,40,polite_prune_yysklw3sqv,16,,-0.9380841121495327,0.8918382769695825,0.8801940802138993,0.03358882945987563,0.910822358570006
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_42.pkl,42,good_giraffe_v9lwxjw2pc,10,,-0.96,0.8431748466257669,0.8459796529736704,0.03337472652356897,0.8361005670540431
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_42.pkl,42,good_giraffe_v9lwxjw2pc,13,,-0.9583789704271632,0.828125,0.8363009868553476,0.03061425899737841,0.8094263412191567
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_62.pkl,62,magenta_brush_709fhdv81h,10,,-0.9619482496194824,0.8610666666666666,0.8540711657496619,0.04348995059146138,0.8817443640979488
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_40.pkl,40,polite_prune_yysklw3sqv,16,,-0.9398364485981309,0.8911770262610995,0.8788688049064758,0.033607760632929855,0.9107821273142527
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_40.pkl,40,polite_prune_yysklw3sqv,16,,-0.9264018691588785,0.856319667485358,0.8502110022525462,0.033042432980723686,0.8683324504607193
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9284051222351571,0.7897811572700296,0.7951628347837191,0.04098511432182852,0.7841197372080482
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_73.pkl,73,mighty_beet_0h7bfp7shz,13,,-0.9608938547486033,0.8772989542012261,0.8648511297900292,0.033377605597968145,0.8904926578515785
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_42.pkl,42,good_giraffe_v9lwxjw2pc,10,,-0.9594742606790799,0.8224213957055214,0.8298169073075415,0.031153261501542195,0.8042635632392504
SurvivalTree_T0,raw_SurvivalTree_T0_30.pkl,30,hungry_fennel_m14vt2kslg,10,,-0.8719298245614036,0.6624446156809863,0.6554032748054016,0.03592439208915407,0.6576740315301596
SurvivalTree_T0,raw_SurvivalTree_T0_32.pkl,32,nifty_oven_lbz18c7nbv,16,,-0.878707627118644,0.7616838636954826,0.7673968893974529,0.04530778406399307,0.7438272087360162
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_30.pkl,30,hungry_fennel_m14vt2kslg,16,,-0.9366279069767441,0.7984973993450202,0.7979246066855653,0.03470219636617697,0.7808898794702731
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_32.pkl,32,nifty_oven_lbz18c7nbv,13,,-0.924908424908425,0.848955172114801,0.8521589466252748,0.04223745911876835,0.8498361768419758
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_30.pkl,30,hungry_fennel_m14vt2kslg,16,,-0.9436046511627907,0.8141013292236563,0.8137106053206217,0.033370659343034285,0.7976473733584224
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_32.pkl,32,nifty_oven_lbz18c7nbv,13,,-0.9267399267399268,0.8622214514870372,0.8660207707633183,0.041313414095291504,0.8625662573980659
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_40.pkl,40,polite_prune_yysklw3sqv,16,,-0.9258177570093458,0.8690723597203854,0.856129243479544,0.03173046361038714,0.8929335019965288
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_30.pkl,30,hungry_fennel_m14vt2kslg,7,,-0.9366279069767441,0.7897322288576383,0.795303077337958,0.030533352937274442,0.7703910266398961
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_32.pkl,32,nifty_oven_lbz18c7nbv,10,,-0.9292452830188679,0.8378565854504465,0.8418331767901306,0.041293351405276055,0.8373542374082527
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_62.pkl,62,magenta_brush_709fhdv81h,7,,-0.955,0.8768,0.8754534373116315,0.03742362316717399,0.8840310499304496
SurvivalTree_T0,raw_SurvivalTree_T0_27.pkl,27,placid_kettle_v9jdbwc8qb,4,,-0.905287623474724,0.8025119505108258,0.8071541586361302,0.036454879653426295,0.8084964531616243
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_27.pkl,27,placid_kettle_v9jdbwc8qb,16,,-0.9465824238943136,0.8360671103196176,0.8437943389439625,0.03862542875844998,0.8214914444762075
